source model,new model,cameras,new feet,new fabric,new bead,comments,six_two_six
RA00004_S005_NA_NA_F018_VA,RA00004_S005_115614_F018,56+54+52+62,Light.jpg,115614.jpg,not required,,718473_14_677737
RA00004_S009_NA_NA_F018_VA,RA00004_S009_115614_F018,56+54+52+62+,Light.jpg,115614.jpg,not required,,718473_14_677737
RA00004_S005_NA_NA_F018_WA,RA00004_S005_409202_F018,56+54+52+62,Light.jpg,409202.jpg,not required,,718473_14_677737
RA00004_S009_NA_NA_F018_WA,RA00004_S009_409202_F018,56+54+52+62+,Light.jpg,409202.jpg,not required,,718473_14_677737
RA00004_S005_NA_NA_F018_WU,RA00004_S005_409203_F018,56+54+52+62,Standard.jpg,409203.jpg,not required,,718473_14_677989
RA00004_S009_NA_NA_F018_WU,RA00004_S009_409203_F018,56+54+52+62+,Standard.jpg,409203.jpg,not required,,718473_14_677989
RA00004_S005_NA_NA_F018_VUS,RA00004_S005_409204_F018,56+54+52+62,Standard.jpg,409204.jpg,not required,,718473_14_677989
RA00004_S009_NA_NA_F018_VUS,RA00004_S009_409204_F018,56+54+52+62+,Standard.jpg,409204.jpg,not required,,718473_14_677989
RA00004_S005_NA_NA_F002_VA,RA00004_S005_115614_F002,56+54+52+62,Light.jpg,115614.jpg,not required,,718473_14_690553
RA00004_S009_NA_NA_F002_VA,RA00004_S009_115614_F002,56+54+52+62+,Light.jpg,115614.jpg,not required,,718473_14_690553
RA00004_S005_NA_NA_F002_WA,RA00004_S005_409202_F002,56+54+52+62,Light.jpg,409202.jpg,not required,,718473_14_690553
RA00004_S009_NA_NA_F002_WA,RA00004_S009_409202_F002,56+54+52+62+,Light.jpg,409202.jpg,not required,,718473_14_690553
RA00004_S005_NA_NA_F002_WU,RA00004_S005_409203_F002,56+54+52+62,Standard.jpg,409203.jpg,not required,,718473_14_959323
RA00004_S009_NA_NA_F002_WU,RA00004_S009_409203_F002,56+54+52+62+,Standard.jpg,409203.jpg,not required,,718473_14_959323
RA00004_S005_NA_NA_F002_VUS,RA00004_S005_409204_F002,56+54+52+62,Standard.jpg,409204.jpg,not required,,718473_14_959323
RA00004_S009_NA_NA_F002_VUS,RA00004_S009_409204_F002,56+54+52+62+,Standard.jpg,409204.jpg,not required,,718473_14_959323
